player,sign_year,side,to_team,via_head_coach,via_coordinator,via_position_coach
Austin Howard,2017,OFF,BAL,0,1,1
Taiwan Jones,2017,OFF,BUF,0,0,1
Connor Barth,2017,ST,CHI,1,1,1
Mike Adams,2017,OFF,CHI,1,1,1
Brandon Thompson,2017,DEF,CLE,1,1,1
Marcus Burley,2017,DEF,CLE,0,0,1
Kellen Moore,2017,OFF,DAL,0,1,1
Charles James,2017,DEF,JAX,0,0,1
Dwight Lowery,2017,DEF,LAC,0,1,1
Jeff Cumberland,2017,OFF,LAC,1,1,1
Dexter Mccluster,2017,OFF,LAC,0,1,1
Jermon Bushrod,2017,OFF,MIA,1,1,1
Dominique Jones,2017,OFF,MIA,1,1,1
Terence Newman,2017,DEF,MIN,1,1,1
Khyri Thornton,2017,DEF,NYG,0,0,1
Khiry Robinson,2017,OFF,NYJ,0,1,1
Ed Stinson,2017,DEF,NYJ,1,1,1
Ryan Mathews,2017,OFF,PHI,0,1,1
Stephen Tulloch,2017,DEF,PHI,0,1,1
Matt Mcgloin,2017,OFF,PHI,0,0,1
Joe Hawley,2017,OFF,TB,1,1,1
Jacquizz Rodgers,2017,OFF,TB,1,1,1
Antone Smith,2017,OFF,TB,1,1,1
Sean Renfree,2017,OFF,TB,1,1,1
Greg Toler,2017,DEF,WAS,0,1,1
Leonard Johnson,2018,DEF,ARI,1,1,1
Mike Tolbert,2018,OFF,BUF,1,1,1
Taiwan Jones,2018,OFF,BUF,0,0,1
Travaris Cadet,2018,OFF,BUF,0,1,1
David Yankey,2018,OFF,CAR,0,1,1
Quintin Demps,2018,DEF,CHI,1,1,1
Marcus Cooper,2018,DEF,CHI,1,1,1
Knile Davis,2018,OFF,CHI,1,1,1
Derron Smith,2018,DEF,CLE,1,1,1
Jeron Johnson,2018,DEF,DAL,0,0,1
Eric Pinkins,2018,DEF,DAL,0,0,1
Menelik Watson,2018,OFF,DEN,0,1,1
Allen Barbre,2018,OFF,DEN,0,1,1
Deshawn Williams,2018,DEF,DEN,1,1,1
Tavon Wilson,2018,DEF,DET,1,1,1
Cornelius Washington,2018,DEF,DET,0,1,1
Jeremiah George,2018,DEF,IND,0,1,1
Jeff Cumberland,2018,OFF,LAC,1,1,1
John Sullivan,2018,OFF,LAR,1,1,1
Nick Williams,2018,OFF,LAR,1,1,1
Jay Cutler,2018,OFF,MIA,1,1,1
Julius Thomas,2018,OFF,MIA,1,1,1
David Fales,2018,OFF,MIA,1,1,1
Lamin Barrow,2018,DEF,MIA,1,1,1
Terence Newman,2018,DEF,MIN,1,1,1
Kaelin Clay,2018,OFF,NYG,0,1,1
Chris Scott,2018,OFF,NYG,0,1,1
Xavier Cooper,2018,DEF,NYJ,0,0,1
Marquess Wilson,2018,OFF,PHI,0,1,1
Dewey Mcdonald,2018,DEF,SEA,0,1,1
Aldrick Robinson,2018,OFF,SF,1,1,1
Don Jones,2018,DEF,SF,0,0,1
Joe Hawley,2018,OFF,TB,1,1,1
Robert Mcclain,2018,DEF,TB,1,1,1
Freddie Martino,2018,OFF,TB,1,1,1
Eric Weems,2018,OFF,TEN,0,1,1
Arthur Jones,2018,DEF,WAS,0,1,1
Chris Carter,2018,DEF,WAS,0,1,1
David Amerson,2019,DEF,ARI,0,0,1
Jeremiah Poutasi,2019,OFF,ARI,0,0,1
Adam Gettis,2019,OFF,ATL,0,1,1
Chris Ivory,2019,OFF,BUF,0,0,1
Denzel Rice,2019,DEF,BUF,0,0,1
Donte Moncrief,2019,OFF,CAR,0,0,1
Torrey Smith,2019,OFF,CAR,0,0,1
Fozzy Whittaker,2019,OFF,CAR,0,1,1
Taylor Heinicke,2019,OFF,CAR,0,1,1
Nick Williams,2019,DEF,CHI,1,1,1
Earl Watford,2019,OFF,CLE,1,1,1
Tyvis Powell,2019,DEF,DAL,0,0,1
Legarrette Blount,2019,OFF,DET,1,1,1
Ricky Jean Francois,2019,DEF,DET,1,1,1
Eric Lee,2019,DEF,DET,1,1,1
Trevor Bates,2019,DEF,DET,1,1,1
Corey Grant,2019,OFF,GB,0,1,1
Marcedes Lewis,2019,OFF,GB,0,1,1
Ibraheim Campbell,2019,DEF,GB,0,1,1
Matt Slauson,2019,OFF,IND,0,1,1
Gabe Holmes,2019,OFF,IND,0,0,1
Michael Hunter,2019,DEF,KC,0,1,1
John Sullivan,2019,OFF,LAR,1,1,1
Jonathan Stewart,2019,OFF,NYG,0,1,1
Connor Barwin,2019,DEF,NYG,1,1,1
Cody Latimer,2019,OFF,NYG,0,0,1
Russell Shepard,2019,OFF,NYG,0,1,1
John Greco,2019,OFF,NYG,0,0,1
Bennie Fowler,2019,OFF,NYG,0,0,1
Neville Hewitt,2019,DEF,NYJ,1,1,1
Neiko Thorpe,2019,DEF,SEA,0,1,1
Pierre Garcon,2019,OFF,SF,1,1,1
Laroy Reynolds,2019,DEF,SF,1,1,1
