gsis,season,pg,base,out,age,reunion,player_move,coach_move,moved,base_av,out_av
00-0007091,2015,QB,0.13106796116504854,0.33495145631067963,40,0,0,0,0,0.2631578947368421,0.52
00-0010346,2015,QB,0.9320388349514563,0.4368932038834951,39,0,0,0,0,0.7631578947368421,0.6266666666666667
00-0018227,2015,DB,0.9319419237749547,0.8324074074074074,39,0,0,0,0,,
00-0019596,2015,QB,0.9611650485436893,0.9805825242718447,38,0,0,0,0,0.6578947368421053,0.8533333333333334
00-0019596,2016,QB,0.9805825242718447,0.9387755102040817,39,0,0,0,0,0.8533333333333334,0.7671232876712328
00-0019596,2017,QB,0.9387755102040817,1.0,40,0,0,0,0,0.7671232876712328,0.8133333333333334
00-0019596,2018,QB,1.0,0.875,41,0,0,0,0,0.8133333333333334,0.7297297297297297
00-0019596,2019,QB,0.875,0.7872340425531915,42,0,0,0,0,0.7297297297297297,0.7397260273972602
00-0019596,2020,QB,0.7872340425531915,0.9739130434782609,43,0,0,0,1,0.7397260273972602,0.8333333333333334
00-0019596,2021,QB,0.9739130434782609,0.9745762711864406,44,0,0,0,0,0.8333333333333334,0.7647058823529411
00-0019596,2022,QB,0.9745762711864406,0.853448275862069,45,0,0,0,0,0.7647058823529411,0.7790697674418605
00-0020245,2015,QB,0.1796116504854369,0.1407766990291262,35,0,0,0,1,,
00-0020337,2015,WR,0.9216867469879518,0.6815384615384615,36,0,0,0,0,0.7417840375586855,0.6954545454545454
00-0020337,2016,WR,0.6815384615384615,0.7644376899696048,37,0,0,0,1,0.6954545454545454,0.6986301369863014
00-0020531,2015,QB,0.8786407766990292,0.8786407766990292,36,0,0,0,0,0.9802631578947368,0.98
00-0020531,2016,QB,0.8786407766990292,0.9540816326530612,37,1,0,1,0,0.98,0.9794520547945206
00-0020531,2017,QB,0.9540816326530612,0.9484536082474226,38,0,0,0,0,0.9794520547945206,0.9333333333333333
00-0020531,2018,QB,0.9484536082474226,0.9134615384615384,39,0,0,0,0,0.9333333333333333,0.7567567567567568
00-0020531,2019,QB,0.9134615384615384,0.5851063829787234,40,0,0,0,0,0.7567567567567568,0.4931506849315068
00-0020531,2020,QB,0.5851063829787234,0.6521739130434783,41,0,0,0,0,0.4931506849315068,0.6428571428571429
00-0020712,2015,LB,0.6645077720207254,0.9584415584415584,37,0,0,0,0,,
00-0020712,2016,LB,0.9584415584415584,0.9367396593673966,38,0,0,0,0,,
00-0020712,2017,LB,0.9367396593673966,0.3469387755102041,39,0,0,0,1,,
00-0021140,2015,LB,0.9958932238193019,0.8795918367346939,35,0,0,0,0,0.6531986531986532,0.4931506849315068
00-0021140,2016,LB,0.8795918367346939,0.9158110882956879,36,0,0,0,0,0.4931506849315068,0.288135593220339
00-0021140,2017,DL,0.9158110882956879,0.8937007874015748,37,0,0,0,1,0.288135593220339,0.6166134185303515
00-0021140,2018,DL,0.8937007874015748,0.8573008849557522,38,0,0,0,0,0.6166134185303515,0.6118421052631579
00-0021146,2015,LB,0.47741273100616016,0.7693877551020408,35,0,0,0,1,,
00-0021146,2016,DL,0.7693877551020408,0.5811088295687885,36,0,0,0,1,,
00-0021206,2015,QB,0.470873786407767,0.49029126213592233,36,0,0,0,1,0.631578947368421,0.5066666666666667
00-0021206,2016,QB,0.49029126213592233,0.23979591836734693,37,0,0,0,0,0.5066666666666667,0.4657534246575342
00-0021206,2017,QB,0.23979591836734693,0.5824742268041238,38,0,0,0,1,0.4657534246575342,0.7333333333333333
00-0021206,2018,QB,0.5824742268041238,0.14903846153846154,39,0,0,0,0,0.7333333333333333,0.43243243243243246
00-0021429,2015,QB,0.41262135922330095,0.9320388349514563,36,0,0,0,0,0.8092105263157895,0.6533333333333333
00-0021429,2016,QB,0.9320388349514563,0.6275510204081632,37,0,0,0,0,0.6533333333333333,0.7123287671232876
00-0021429,2017,QB,0.6275510204081632,0.3556701030927835,38,0,0,0,0,0.7123287671232876,0.6266666666666667
00-0021547,2015,TE,0.9680232558139535,0.8646408839779005,35,0,0,0,0,,
00-0021547,2016,TE,0.8646408839779005,0.8477011494252874,36,1,0,1,0,,
00-0021547,2017,TE,0.8477011494252874,0.696236559139785,37,0,0,0,0,,
00-0021547,2018,TE,0.696236559139785,0.803030303030303,38,0,0,0,0,,
00-0021577,2015,DL,0.9106776180698152,0.6173469387755102,34,0,0,0,0,,
00-0021678,2015,QB,0.8640776699029126,0.19902912621359223,35,0,0,0,0,,
00-0021706,2015,DL,0.3398357289527721,0.5377551020408163,34,0,0,0,0,,
00-0021706,2016,DL,0.5377551020408163,0.31519507186858314,35,0,0,0,1,,
00-0021998,2015,DL,0.8193018480492813,0.6295918367346939,35,0,0,0,1,,
00-0022044,2015,WR,0.8328313253012049,0.6415384615384615,34,0,0,0,1,0.92018779342723,0.6181818181818182
00-0022044,2016,WR,0.6415384615384615,0.21428571428571427,35,0,0,0,1,0.6181818181818182,0.3013698630136986
00-0022045,2015,DB,0.5281306715063521,0.7296296296296296,37,1,1,0,1,0.7734375,0.7590673575129534
00-0022045,2016,DB,0.7296296296296296,0.4807692307692308,38,0,0,0,0,0.7590673575129534,0.5866983372921615
00-0022045,2017,DB,0.4807692307692308,0.41929499072356213,39,0,0,0,0,0.5866983372921615,0.23015873015873015
00-0022059,2016,LB,0.7337662337662337,0.6654501216545012,35,0,0,0,0,,
00-0022073,2015,DL,0.6344969199178645,0.6112244897959184,35,0,0,0,1,,
00-0022080,2015,DB,0.6206896551724138,0.4842592592592593,35,0,0,0,0,,
00-0022084,2015,WR,0.8900602409638554,0.7584615384615384,35,0,0,0,0,0.9436619718309859,0.9363636363636364
